ID,Title,Description,Author,Price,SizeInBytes,TotalMinutes
11,AudioBook-11,Description1,ISBN-11,146260,size1,49
12,AudioBook-12,Description2,ISBN-12,229688,size2,745
13,AudioBook-13,Description3,ISBN-13,294769,size3,181
14,AudioBook-14,Description4,ISBN-14,297573,size4,165
15,AudioBook-15,Description5,ISBN-15,199002,size5,303
16,AudioBook-16,Description6,ISBN-16,83546,size6,411
17,AudioBook-17,Description7,ISBN-17,160996,size7,666
18,AudioBook-18,Description8,ISBN-18,175516,size8,662
19,AudioBook-19,Description9,ISBN-19,225219,size9,727
20,AudioBook-20,Description10,ISBN-20,228324,size10,215
